,Gender,Institution Type,IT Student,Location,Load-shedding,Internet Type,Self Lms,Age_11-15,Age_16-20,Age_26-30,Age_6-10,Education Level_University,Financial Condition_Poor,Financial Condition_Rich,Network Type_4G,Class Duration_1-3,Class Duration_3-6,Device_Mobile,Device_Tab,Adaptivity Level
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
4,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
5,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
6,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
7,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2
8,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
9,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
10,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1
11,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
12,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
13,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
14,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2
15,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1
16,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
17,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
18,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
19,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
20,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0
21,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
22,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
23,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
24,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
25,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
27,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2
28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
29,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
30,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
31,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
32,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2
33,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
34,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
35,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2
36,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
37,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
38,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
39,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
40,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2
41,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2
42,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
43,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
44,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
45,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2
46,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
47,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
48,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
49,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
50,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
51,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
52,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
53,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,2
54,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
55,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
